path	type	size_bytes	size_human	category	recommendation	reason	reproducible	important
src/babappa/branch/__pycache__/neural_train.cpython-311.pyc	file	27035	26.4K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/oracle_labels.cpython-311.pyc	file	38390	37.5K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/plan.cpython-311.pyc	file	22107	21.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/summary.cpython-311.pyc	file	47697	46.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/summary_audit.cpython-311.pyc	file	8137	7.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/truth_audit.cpython-311.pyc	file	34167	33.4K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/branch/__pycache__/truth_plan.cpython-311.pyc	file	85179	83.2K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/calibration/__pycache__/__init__.cpython-311.pyc	file	1713	1.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/calibration/__pycache__/audit.cpython-311.pyc	file	7273	7.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/calibration/__pycache__/baseline.cpython-311.pyc	file	24040	23.5K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/calibration/__pycache__/neural.cpython-311.pyc	file	13613	13.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/calibration/__pycache__/neural_audit.cpython-311.pyc	file	7176	7.0K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/calibration/__pycache__/stratified_calibration.cpython-311.pyc	file	24306	23.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/calibration/__pycache__/stratified_calibration_audit.cpython-311.pyc	file	7934	7.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
